Codigo do IBGE,UF,Nome da cidade
3100104,MG,ABADIA DOS DOURADOS
5200100,GO,ABADIANIA
3100203,MG,ABAETE
1500107,PA,ABAETETUBA
2300101,CE,ABAIARA
2900108,BA,ABAIRA
2900207,BA,ABARE
4100103,PR,ABATIA
1500131,PA,ABEL FIGUEIREDO
4200101,SC,ABELARDO LUZ
3100302,MG,ABRE CAMPO
2600054,PE,ABREU E LIMA
1700251,TO,ABREULANDIA
3100401,MG,ACAIACA
2900306,BA,ACAJUTIBA
1500206,PA,ACARA
2300150,CE,ACARAPE
2300200,CE,ACARAU
2400109,RN,ACARI
2200053,PI,ACAUA
4300034,RS,ACEGUA
2300309,CE,ACOPIARA
5100102,MT,ACORIZAL
5200134,GO,ACREUNA
2400208,RN,ACU
3500105,SP,ADAMANTINA
5200159,GO,ADELANDIA
3500204,SP,ADOLFO
4100202,PR,ADRIANOPOLIS
2900355,BA,ADUSTINA
2600104,PE,AFOGADOS DA INGAZEIRA
2400307,RN,AFONSO BEZERRA
3200102,ES,AFONSO CLAUDIO
2100105,MA,AFONSO CUNHA
2600203,PE,AFRANIO
1500305,PA,AFUA
4200200,SC,AGROLANDIA
4200309,SC,AGRONOMICA
1500347,PA,AGUA AZUL DO NORTE
5100201,MT,AGUA BOA
2700102,AL,AGUA BRANCA
2500106,PB,AGUA BRANCA
2200202,PI,AGUA BRANCA
5000203,MS,AGUA CLARA
3100708,MG,AGUA COMPRIDA
4200408,SC,AGUA DOCE
2900405,BA,AGUA FRIA
5200175,GO,AGUA FRIA DE GOIAS
5200209,GO,AGUA LIMPA
2400406,RN,AGUA NOVA
2600401,PE,AGUA PRETA
4300059,RS,AGUA SANTA
3500303,SP,AGUAI
3100807,MG,AGUANIL
2600500,PE,AGUAS BELAS
3500402,SP,AGUAS DA PRATA
4200507,SC,AGUAS DE CHAPECO
3500501,SP,AGUAS DE LINDOIA
3500600,SP,AGUAS DE SAO PEDRO
3100906,MG,AGUAS FORMOSAS
4200556,SC,AGUAS FRIAS
4200606,SC,AGUAS MORNAS
3101003,MG,AGUAS VERMELHAS
4300109,RS,AGUDO
3500709,SP,AGUDOS
4100301,PR,AGUDOS DO SUL
2200251,PI,ALAGOINHA DO PIAUI
2900702,BA,ALAGOINHAS
3500758,SP,ALAMBARI
3101409,MG,ALBERTINA
2100204,MA,ALCANTARA
2300507,CE,ALCANTARAS
2500536,PB,ALCANTIL
5000252,MS,ALCINOPOLIS
2900801,BA,ALCOBACA
2100303,MA,ALDEIAS ALTAS
4300307,RS,ALECRIM
3200201,ES,ALEGRE
2200277,PI,ALEGRETE DO PIAUI
4300455,RS,ALEGRIA
3101508,MG,ALEM PARAIBA
1500404,PA,ALENQUER
2400505,RN,ALEXANDRIA
5200308,GO,ALEXANIA
3101607,MG,ALFENAS
3200300,ES,ALFREDO CHAVES
3500808,SP,ALFREDO MARCONDES
3101631,MG,ALFREDO VASCONCELOS
2500577,PB,ALGODAO DE JANDAIRA
2500601,PB,ALHANDRA
2600708,PE,ALIANCA
1700350,TO,ALIANCA DO TOCANTINS
2900900,BA,ALMADINA
1700400,TO,ALMAS
1500503,PA,ALMEIRIM
3101706,MG,ALMENARA
2400604,RN,ALMINO AFONSO
4100400,PR,ALMIRANTE TAMANDARE
4300471,RS,ALMIRANTE TAMANDARE DO SUL
5200506,GO,ALOANDIA
3101805,MG,ALPERCATA
4300505,RS,ALPESTRE
3101904,MG,ALPINOPOLIS
1100015,RO,ALTA FLORESTA D'OESTE
3500907,SP,ALTAIR
1500602,PA,ALTAMIRA
2100402,MA,ALTAMIRA DO MARANHAO
